Category,Sub-category,Flavor,Sub-flavor
beverage,beverage,champagne sparkling,
beverage,beverage,ion drink,
beverage,beverage,soda,
chocolate,cocoa,baker's chocolate,
chocolate,cocoa,dark chocolate,
chocolate,cocoa,bittersweet chocolate,
chocolate,cocoa,milk chocolate,
chocolate,cocoa,white chocolate,
chocolate,cocoa,cacao nibs,
chocolate,cocoa,rum chocolate,
chocolate,cocoa,swiss chocolate,
chocolate,cocoa,blueberry chocolate,
chocolate,cocoa,almond chocolate,
chocolate,cocoa,chocolate,
chocolate,cocoa,cacao,
fermented,fermented,port wine,
fermented,fermented,rose wine,
fermented,fermented,whiskey,
fermented,fermented,winey,
fermented,fermented,rum,
floral,yellow flower,freesia,
floral,white flower,magnolia,
floral,white flower,honeysuckle,
floral,white flower,jasmine,
floral,white flower,orange blossom,
floral,white flower,acacia,
floral,white flower,gardenia,
floral,white flower,osmanthus,
floral,white flower,elderflower,
floral,white flower,coffee blossom,
floral,white flower,lily,
floral,red flower,rose,rosewater
floral,red flower,rose,rose tea
floral,red flower,hibiscus,
floral,red flower,tea rose,
floral,purple flower,lavender,
floral,purple flower,purple flower tea,
floral,purple flower,violet,
floral,purple flower,lilac,
floral,pink flower,pink acacia,
floral,floral,flower,
floral,floral,flower tea,
floral,floral,perfume,
floral,floral,bouquet,
floral,floral,chrysanthemum,
fruit,tropical fruit,lychee,
fruit,tropical fruit,tamarind,
fruit,tropical fruit,passion fruit,
fruit,tropical fruit,pineapple,
fruit,tropical fruit,mango,
fruit,tropical fruit,papaya,
fruit,tropical fruit,kiwi,
fruit,tropical fruit,banana,
fruit,tropical fruit,coconut,
fruit,tropical fruit,guava,
fruit,tropical fruit,tropical,
fruit,tropical fruit,tropical candy,
fruit,tropical fruit,green mango,
fruit,tropical fruit,green papaya,
fruit,tropical fruit,pineapple juice,
fruit,tropical fruit,mangosteen,
fruit,tropical fruit,apple mango,
fruit,tropical fruit,guyabano,
fruit,tropical fruit,lychee juice,
fruit,tropical fruit,bubblegum,
fruit,tropical fruit,tropical juice,
fruit,tropical fruit,starfruit,
fruit,stone fruit,peach,nectarine
fruit,stone fruit,peach,peach juice
fruit,stone fruit,peach,peach iced tea
fruit,stone fruit,peach,white peach
fruit,stone fruit,peach,apricot
fruit,stone fruit,peach,apricot jam
fruit,stone fruit,peach,peach tea
fruit,stone fruit,peach,yellow peach
fruit,stone fruit,peach,peach jam
fruit,stone fruit,plum,plum juice
fruit,stone fruit,plum,plum jelly
fruit,stone fruit,cherry,black cherry
fruit,stone fruit,cherry,maraschino cherry
fruit,stone fruit,cherry,acerola
fruit,stone fruit,cherry,dark cherry
fruit,stone fruit,cherry,red cherry
fruit,stone fruit,quince,
fruit,melon,watermelon,
fruit,melon,honeydew,
fruit,melon,cantaloupe,
fruit,grape,red grape,
fruit,grape,concord grape,
fruit,grape,red wine,
fruit,grape,grape jelly,
fruit,grape,purple grape,
fruit,grape,campbell grape,
fruit,grape,green grape,champagne
fruit,grape,green grape,muscat
fruit,grape,green grape,shine muscat
fruit,grape,green grape,white wine
fruit,grape,green grape,white grape
fruit,fruit,pickled fruit,
fruit,fruit,fruit candy,
fruit,fruit,fruit tea,
fruit,fruit,fruit cocktail,
fruit,dried fruit,golden raisin,
fruit,dried fruit,raisin,
fruit,dried fruit,dried fig,
fruit,dried fruit,dried date,
fruit,dried fruit,prune,
fruit,dried fruit,cascara,
fruit,dried fruit,dried apricot,
fruit,dried fruit,dried fruit,
fruit,dried fruit,dried plum,
fruit,dried fruit,fig,
fruit,citrus fruit,lemon,lemon rosso
fruit,citrus fruit,lemon,lemon candy
fruit,citrus fruit,lemon,lemon zest
fruit,citrus fruit,lemon,lemon peel
fruit,citrus fruit,lemon,lemon juice
fruit,citrus fruit,lemon,lemonade
fruit,citrus fruit,lemon,candid lemon peel
fruit,citrus fruit,lime,
fruit,citrus fruit,grapefruit,
fruit,citrus fruit,clementine,
fruit,citrus fruit,orange,
fruit,citrus fruit,blood orange,
fruit,citrus fruit,mandarin orange,
fruit,citrus fruit,yellow lime,
fruit,citrus fruit,yellow lemon,
fruit,citrus fruit,green citrus,
fruit,citrus fruit,mandarin ale,
fruit,citrus fruit,citrus,
fruit,citrus fruit,mandarin juice,
fruit,citrus fruit,orange juice,
fruit,citrus fruit,pomelo,
fruit,citrus fruit,green tangerine,
fruit,citrus fruit,orange candy,
fruit,citrus fruit,citron,
fruit,citrus fruit,white grapefruit,
fruit,citrus fruit,citric,
fruit,citrus fruit,loquat,
fruit,citrus fruit,mandarin,
fruit,citrus fruit,tangerine,
fruit,citrus fruit,bergamot,
fruit,berry,cranberry,
fruit,berry,raspberry,raspberry jam
fruit,berry,strawberry,strawberry jam
fruit,berry,blueberry,blueberry jam
fruit,berry,blackberry,
fruit,berry,currant,
fruit,berry,rosehip,
fruit,berry,blackcurrant,
fruit,berry,mixed berry,
fruit,berry,pomegranate,
fruit,berry,red berry,
fruit,apple/pear,apple,apple pie
fruit,apple/pear,apple,red apple juice
fruit,apple/pear,apple,apple jam
fruit,apple/pear,green apple,
fruit,apple/pear,red apple,
fruit,apple/pear,asian pear,
fruit,apple/pear,pear,
grain & cereal,cereal,popcorn,
grain & cereal,cereal,pastry,
grain & cereal,cereal,toasted oats,
grain & cereal,cereal,graham cracker,
grain & cereal,cereal,rye,
grain & cereal,cereal,wheat,
grain & cereal,cereal,barley,
grain & cereal,cereal,malt,
grain & cereal,cereal,fresh bread,
grain & cereal,cereal,cracker,
grain & cereal,cereal,popped grain,
grain & cereal,cereal,bread,
grain & cereal,cereal,rice syrup,
grain & cereal,cereal,grain,
nut,nutty,walnut,
nut,nutty,peanut,
nut,nutty,cashew,
nut,nutty,pecan,
nut,nutty,hazelnut,
nut,nutty,almond,
nut,nutty,cashew nut,
nut,nutty,roasted almond,
nut,nutty,macadamia,
nut,nutty,pistachio,
nut,nutty,nut,
nut,nutty,chestnut,
roast,burnt,toast,
roast,burnt,burnt sugar,
roast,burnt,smoky,
roast,burnt,carbon,
savory,savory,leathery,
savory,savory,meat-like,
savory,savory,soy sauce,
savory,savory,sundried tomato,
spice,spice,coriander,
spice,spice,ginger,
spice,spice,vermut,
spice,pepper,black pepper,
spice,pepper,white pepper,
spice,brown spice,cinnamon,
spice,brown spice,nutmeg,
spice,brown spice,cumin,
spice,brown spice,licorice,
spice,brown spice,anise,
spice,brown spice,clove,
spice,brown spice,cinnamon roll,
spice,brown spice,cardamom,
spice,brown spice,cinnamon stick,
sweet & sugary,vanillin,marshmallow,
sweet & sugary,vanillin,vanilla,
sweet & sugary,overall sweet,marzipan,
sweet & sugary,overall sweet,nougat,
sweet & sugary,overall sweet,butter,
sweet & sugary,overall sweet,cream,
sweet & sugary,overall sweet,cola,
sweet & sugary,overall sweet,salted caramel,
sweet & sugary,overall sweet,cotton candy,
sweet & sugary,overall sweet,toffee,
sweet & sugary,overall sweet,turkish delight,
sweet & sugary,overall sweet,chupa chups,
sweet & sugary,overall sweet,caramel,
sweet & sugary,overall sweet,coke,
sweet & sugary,overall sweet,candy,
sweet & sugary,honey,acacia honey,
sweet & sugary,honey,honey tea,
sweet & sugary,brown sugar,honey,
sweet & sugary,brown sugar,cane sugar,
sweet & sugary,brown sugar,simple syrup,
sweet & sugary,brown sugar,caramel,
sweet & sugary,brown sugar,maple syrup,
sweet & sugary,brown sugar,molasses,
sweet & sugary,brown sugar,agave syrup,
sweet & sugary,brown sugar,sugarcane,
sweet & sugary,brown sugar,syrup,
vegetal & earthy & herb,tobacco,tobacco,
vegetal & earthy & herb,tea,earl grey,
vegetal & earthy & herb,tea,green orange peel pu-er tea,
vegetal & earthy & herb,tea,white tea,
vegetal & earthy & herb,tea,pu-er tea,
vegetal & earthy & herb,tea,oolong tea,
vegetal & earthy & herb,tea,assam tea,
vegetal & earthy & herb,tea,chamomile,
vegetal & earthy & herb,tea,rooibos tea,
vegetal & earthy & herb,tea,black tea,
vegetal & earthy & herb,tea,citrus black tea,
vegetal & earthy & herb,tea,green tea,
vegetal & earthy & herb,tea,ruby oolong,
vegetal & earthy & herb,tea,darjeeling,
vegetal & earthy & herb,tea,milk tea,
vegetal & earthy & herb,tea,jasmine tea,
vegetal & earthy & herb,papery/musty,soil,
vegetal & earthy & herb,papery/musty,wood,
vegetal & earthy & herb,herb,dill,
vegetal & earthy & herb,herb,mint,
vegetal & earthy & herb,herb,thyme,
vegetal & earthy & herb,herb,lemonbalm,
vegetal & earthy & herb,herb,sage,
vegetal & earthy & herb,herb,rosemary,
vegetal & earthy & herb,herb,basil,
vegetal & earthy & herb,herb,herbal tea,
vegetal & earthy & herb,herb,herbal,
vegetal & earthy & herb,herb,eucalyptus,
vegetal & earthy & herb,herb,apple mint,
vegetal & earthy & herb,herb,holy basil,
vegetal & earthy & herb,herb,lemongrass,
vegetal & earthy & herb,green/vegetative,cedar,
vegetal & earthy & herb,green/vegetative,straw,
vegetal & earthy & herb,green/vegetative,leafy greens,
vegetal & earthy & herb,green/vegetative,olive,
vegetal & earthy & herb,green/vegetative,green pepper,
vegetal & earthy & herb,green/vegetative,squash,
vegetal & earthy & herb,green/vegetative,mushroom,
vegetal & earthy & herb,green/vegetative,carrot,
vegetal & earthy & herb,green/vegetative,tomato,
vegetal & earthy & herb,green/vegetative,sweet pea,
vegetal & earthy & herb,green/vegetative,rhubarb,
vegetal & earthy & herb,green/vegetative,grassy,
vegetal & earthy & herb,green/vegetative,hops,
vegetal & earthy & herb,green/vegetative,hop,
